2025-05-19 12:05:51.487 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.483816", "args": "(4,)", "kwargs": "{}", "duration_seconds": "0.0160", "result": "24"}}
2025-05-19 12:05:51.488 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.482816", "args": "(5,)", "kwargs": "{}", "duration_seconds": "0.0160", "result": "120"}}
2025-05-19 12:05:51.488 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.482816", "args": "(6,)", "kwargs": "{}", "duration_seconds": "0.0160", "result": "720"}}
2025-05-19 12:05:51.490 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.481817", "args": "(7,)", "kwargs": "{}", "duration_seconds": "0.0160", "result": "5040"}}
2025-05-19 12:05:51.490 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.481817", "args": "(8,)", "kwargs": "{}", "duration_seconds": "0.0160", "result": "40320"}}
2025-05-19 12:05:51.490 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.480817", "args": "(9,)", "kwargs": "{}", "duration_seconds": "0.0160", "result": "362880"}}
2025-05-19 12:05:51.492 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.480817", "args": "(10,)", "kwargs": "{}", "duration_seconds": "0.0160", "result": "3628800"}}
2025-05-19 12:05:51.492 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.492251", "args": "(-1,)", "kwargs": "{}"}}
2025-05-19 12:05:51.494 | ERROR    | fatorial | Erro em wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.492251", "args": "(-1,)", "kwargs": "{}", "error": "Não é possível calcular fatorial de número negativo", "error_type": "ValueError", "traceback": "Traceback (most recent call last):\n  File \"d:\\Github\\Python_Estudos\\Python Completo do Zero ao Avançado + Projetos Reais 2025\\logger_config.py\", line 152, in wrapper\n    result = func(*args, **kwargs)\n             ^^^^^^^^^^^^^^^^^^^^^\n  File \"d:\\Github\\Python_Estudos\\Python Completo do Zero ao Avançado + Projetos Reais 2025\\fatorial_logging.py\", line 17, in wrapper\n    return func(*args, **kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^\n  File \"d:\\Github\\Python_Estudos\\Python Completo do Zero ao Avançado + Projetos Reais 2025\\fatorial_logging.py\", line 35, in fatorial\n    raise ValueError(\"Não é possível calcular fatorial de número negativo\")\nValueError: Não é possível calcular fatorial de número negativo\n", "duration_seconds": "0.0000"}}
2025-05-19 12:05:51.495 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.469123", "args": "()", "kwargs": "{}", "duration_seconds": "0.0160", "result": "None"}}
2025-05-19 12:05:51.496 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.496771", "args": "()", "kwargs": "{}"}}
2025-05-19 12:05:51.497 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.496771", "args": "(20,)", "kwargs": "{}"}}
2025-05-19 12:05:51.497 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.497771", "args": "(19,)", "kwargs": "{}"}}
2025-05-19 12:05:51.498 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.498772", "args": "(18,)", "kwargs": "{}"}}
